G_filename,H_filename,Score,TP,FP,FN,Reversed Edges,Accuracy,Precision,Recall,F1-Score,Depth Deviation,Mean Depth Error
G_1000_60_triangle,H_1000_60_triangle,triangle,5,3,994,1,0.00499,0.625,0.005005,0.00993,0,0.0
G_1000_70,H_1000_70,default,343,656,656,21,0.207251,0.343343,0.343343,0.343343,413473,413.473
G_1000_70_betweenness_centrality,H_1000_70_betweenness_centrality,betweenness_centrality,847,851,152,152,0.457838,0.498822,0.847848,0.628105,0,0.0
G_1000_70_closeness_centrality,H_1000_70_closeness_centrality,closeness_centrality,640,1058,359,359,0.311133,0.376914,0.640641,0.474601,0,0.0
G_1000_70_clustering_coefficient,H_1000_70_clustering_coefficient,clustering_coefficient,28,46,971,15,0.026794,0.378378,0.028028,0.05219,0,0.0
G_1000_70_core_number,H_1000_70_core_number,core_number,165,0,834,0,0.165165,1.0,0.165165,0.283505,0,0.0
G_1000_70_degree_centrality,H_1000_70_degree_centrality,degree_centrality,773,730,226,139,0.447079,0.514305,0.773774,0.617906,0,0.0
G_1000_70_fiedler_vector,H_1000_70_fiedler_vector,fiedler_vector,504,1194,495,495,0.229822,0.29682,0.504505,0.373749,0,0.0
G_1000_70_hits,H_1000_70_hits,hits,677,1021,322,322,0.335149,0.398704,0.677678,0.502039,0,0.0
G_1000_70_in_degree_centrality,H_1000_70_in_degree_centrality,in_degree_centrality,314,881,685,331,0.167021,0.262762,0.314314,0.286235,0,0.0
G_1000_70_katz,H_1000_70_katz,katz,556,1090,443,401,0.266156,0.337789,0.556557,0.420416,0,0.0
G_1000_70_laplacian_eigenmap,H_1000_70_laplacian_eigenmap,laplacian_eigenmap,504,1194,495,495,0.229822,0.29682,0.504505,0.373749,0,0.0
G_1000_70_local_efficiency,H_1000_70_local_efficiency,local_efficiency,28,47,971,15,0.026769,0.373333,0.028028,0.052142,0,0.0
G_1000_70_normalized_laplacian,H_1000_70_normalized_laplacian,normalized_laplacian,670,1028,329,329,0.330538,0.394582,0.670671,0.496848,0,0.0
G_1000_70_our_degree_centrality,H_1000_70_our_degree_centrality,our_degree_centrality,801,730,198,116,0.463274,0.523187,0.801802,0.633202,0,0.0
G_1000_70_pagerank,H_1000_70_pagerank,pagerank,566,1132,433,433,0.265603,0.333333,0.566567,0.419726,0,0.0
G_1000_70_spectral_centrality,H_1000_70_spectral_centrality,spectral_centrality,689,651,310,167,0.417576,0.514179,0.68969,0.589141,0,0.0
G_1000_70_spectral_clustering,H_1000_70_spectral_clustering,spectral_clustering,239,613,760,252,0.148263,0.280516,0.239239,0.258239,0,0.0
G_1000_70_spectral_radius,H_1000_70_spectral_radius,spectral_radius,0,0,999,0,0.0,0.0,0.0,0.0,0,0.0
G_1000_70_triangle,H_1000_70_triangle,triangle,25,32,974,9,0.024248,0.438596,0.025025,0.047348,0,0.0
G_1000_80,H_1000_80,default,317,682,682,20,0.188578,0.317317,0.317317,0.317317,417780,417.78
G_1000_80_betweenness_centrality,H_1000_80_betweenness_centrality,betweenness_centrality,856,942,143,143,0.44101,0.476085,0.856857,0.612084,0,0.0
G_1000_80_closeness_centrality,H_1000_80_closeness_centrality,closeness_centrality,600,1198,399,399,0.2731,0.333704,0.600601,0.429031,0,0.0
G_1000_80_clustering_coefficient,H_1000_80_clustering_coefficient,clustering_coefficient,34,52,965,11,0.03235,0.395349,0.034034,0.062673,0,0.0
G_1000_80_core_number,H_1000_80_core_number,core_number,379,209,620,22,0.313742,0.644558,0.379379,0.477631,0,0.0
G_1000_80_degree_centrality,H_1000_80_degree_centrality,degree_centrality,779,802,220,121,0.432537,0.492726,0.77978,0.603876,0,0.0
G_1000_80_fiedler_vector,H_1000_80_fiedler_vector,fiedler_vector,417,1381,582,582,0.17521,0.231924,0.417417,0.298177,0,0.0
G_1000_80_hits,H_1000_80_hits,hits,671,1127,328,328,0.315616,0.373192,0.671672,0.4798,0,0.0
