nohup: ignoring input
Starting simulated annealing
Iteration: 164000, Valid modifications: 141595, Effective modifications: 141399, Loss: 21679.63464738246
Iteration: 165000, Valid modifications: 142462, Effective modifications: 142263, Loss: 21732.255690139093
Iteration: 166000, Valid modifications: 143309, Effective modifications: 143110, Loss: 21704.231306090045
Iteration: 167000, Valid modifications: 144158, Effective modifications: 143958, Loss: 21768.266547469386
Iteration: 168000, Valid modifications: 145020, Effective modifications: 144818, Loss: 21719.319469372942
Iteration: 169000, Valid modifications: 145838, Effective modifications: 145635, Loss: 21672.3344439902
Iteration: 170000, Valid modifications: 146730, Effective modifications: 146526, Loss: 21683.614711465823
Iteration: 171000, Valid modifications: 147592, Effective modifications: 147386, Loss: 21668.46376792936
Iteration: 172000, Valid modifications: 148468, Effective modifications: 148261, Loss: 21663.013460881317
Iteration: 173000, Valid modifications: 149353, Effective modifications: 149143, Loss: 21661.82432252639
Iteration: 174000, Valid modifications: 150257, Effective modifications: 150045, Loss: 21675.23658380344
Iteration: 175000, Valid modifications: 151110, Effective modifications: 150897, Loss: 21662.320604541863
Iteration: 176000, Valid modifications: 151974, Effective modifications: 151759, Loss: 21663.906110511412
Iteration: 177000, Valid modifications: 152849, Effective modifications: 152632, Loss: 21752.344911550666
Iteration: 179000, Valid modifications: 154571, Effective modifications: 154349, Loss: 21757.743618953325
Iteration: 180000, Valid modifications: 155439, Effective modifications: 155211, Loss: 21779.32289881125
Iteration: 181000, Valid modifications: 156286, Effective modifications: 156055, Loss: 21725.97799383881
Iteration: 182000, Valid modifications: 157129, Effective modifications: 156898, Loss: 21660.246130786116
Iteration: 183000, Valid modifications: 158014, Effective modifications: 157781, Loss: 21611.352653856007
Iteration: 184000, Valid modifications: 158862, Effective modifications: 158626, Loss: 21608.665863949835
Iteration: 185000, Valid modifications: 159760, Effective modifications: 159522, Loss: 21709.52059743289
Iteration: 186000, Valid modifications: 160634, Effective modifications: 160393, Loss: 21694.469997589473
Iteration: 187000, Valid modifications: 161487, Effective modifications: 161246, Loss: 21684.69089886525
Iteration: 188000, Valid modifications: 162310, Effective modifications: 162067, Loss: 21767.526846204775
Iteration: 189000, Valid modifications: 163181, Effective modifications: 162936, Loss: 21719.72108496536
Iteration: 191000, Valid modifications: 164901, Effective modifications: 164655, Loss: 21669.665673526782
Iteration: 192000, Valid modifications: 165759, Effective modifications: 165506, Loss: 21597.081081665317
Iteration: 193000, Valid modifications: 166646, Effective modifications: 166391, Loss: 21600.96098536993
Iteration: 194000, Valid modifications: 167541, Effective modifications: 167282, Loss: 21678.668686496465
Iteration: 195000, Valid modifications: 168398, Effective modifications: 168136, Loss: 21675.668434973126
Iteration: 196000, Valid modifications: 169249, Effective modifications: 168985, Loss: 21642.82529211851
Iteration: 197000, Valid modifications: 170111, Effective modifications: 169844, Loss: 21620.751337941892
Iteration: 198000, Valid modifications: 170950, Effective modifications: 170682, Loss: 21661.5248508328
Iteration: 199000, Valid modifications: 171800, Effective modifications: 171530, Loss: 21669.86235789416
Iteration: 200000, Valid modifications: 172652, Effective modifications: 172380, Loss: 21646.150955192916
Iteration: 201000, Valid modifications: 173505, Effective modifications: 173231, Loss: 21626.716076652057
Iteration: 202000, Valid modifications: 174389, Effective modifications: 174113, Loss: 21662.448049500967
Iteration: 203000, Valid modifications: 175275, Effective modifications: 174996, Loss: 21733.416157764637
Iteration: 205000, Valid modifications: 176989, Effective modifications: 176703, Loss: 21664.045634453378
Iteration: 206000, Valid modifications: 177834, Effective modifications: 177545, Loss: 21644.983302459656
Iteration: 207000, Valid modifications: 178686, Effective modifications: 178395, Loss: 21690.77001435216
Iteration: 208000, Valid modifications: 179576, Effective modifications: 179285, Loss: 21592.18973317092
Iteration: 209000, Valid modifications: 180454, Effective modifications: 180160, Loss: 21626.013780295605
Iteration: 211000, Valid modifications: 182204, Effective modifications: 181902, Loss: 21703.607076651402
Iteration: 212000, Valid modifications: 183092, Effective modifications: 182787, Loss: 21531.056813130595
Iteration: 213000, Valid modifications: 183955, Effective modifications: 183646, Loss: 21559.147662888256
Iteration: 214000, Valid modifications: 184828, Effective modifications: 184516, Loss: 21625.04958586791
Iteration: 215000, Valid modifications: 185708, Effective modifications: 185394, Loss: 21616.09583327097
Iteration: 216000, Valid modifications: 186547, Effective modifications: 186232, Loss: 21653.22899285952
