2025-03-11 14:06:15,229 - Trial 41: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 385.9565715792639, 'cooling_rate': 0.9921308089740803, 'max_iter': 87000000, 'loss_weights': {'weight': 1.2966464795900057, 'community': 1.0712696204135939, 'diversity': 3.5755667716074755, 'shortcut': 6942.37518782003}, 'resolution': 0.29041623899512936}
2025-03-11 14:06:15,422 - Trial 13: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 509.33538260100136, 'cooling_rate': 0.9942287561637603, 'max_iter': 31900000, 'loss_weights': {'weight': 5.078983207666303, 'community': 2.0342284655801093, 'diversity': 2.8206885398221755, 'shortcut': 4546.619531165232}, 'resolution': 2.6285301225148934}
2025-03-11 14:06:17,727 - Trial 16: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 283.05667750452244, 'cooling_rate': 0.9939409776768171, 'max_iter': 22500000, 'loss_weights': {'weight': 16.60532786083077, 'community': 1.020514476300723, 'diversity': 3.906691237894675, 'shortcut': 4846.967256267049}, 'resolution': 4.3316190147103635}
2025-03-11 14:06:18,285 - Trial 50: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 339.131249814611, 'cooling_rate': 0.9920506517492591, 'max_iter': 36800000, 'loss_weights': {'weight': 10.666107886815473, 'community': 3.600356403710478, 'diversity': 18.674399992529093, 'shortcut': 3141.512777159641}, 'resolution': 2.5308444236817724}
2025-03-11 14:06:20,589 - Trial 7: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 746.1931954543121, 'cooling_rate': 0.995701845308828, 'max_iter': 35100000, 'loss_weights': {'weight': 1.1042725459992662, 'community': 3.7593317590548865, 'diversity': 5.825431563186324, 'shortcut': 1697.3766696621703}, 'resolution': 1.5099536176993986}
2025-03-11 14:06:21,725 - Trial 18: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 926.8106146362277, 'cooling_rate': 0.9937924242767563, 'max_iter': 37200000, 'loss_weights': {'weight': 12.916841461247351, 'community': 4.717366208815933, 'diversity': 11.476396744830158, 'shortcut': 9873.895789866572}, 'resolution': 0.905392844570996}
2025-03-11 14:06:22,073 - Trial 38: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 815.1511531797437, 'cooling_rate': 0.9922042651961935, 'max_iter': 96700000, 'loss_weights': {'weight': 16.804718992033287, 'community': 2.010481311191546, 'diversity': 13.011001363582066, 'shortcut': 7766.608650377744}, 'resolution': 4.96647682644926}
2025-03-11 14:06:22,346 - Trial 48: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 177.7670335195483, 'cooling_rate': 0.9905351490120312, 'max_iter': 95000000, 'loss_weights': {'weight': 12.008968049455708, 'community': 8.642805210770529, 'diversity': 4.471729241579375, 'shortcut': 9766.64909677234}, 'resolution': 4.554712867045475}
2025-03-11 14:06:23,474 - Trial 23: F1-score = 0.218595450049456, Shortcuts = 0, TP = 442, Parameters = {'initial_temp': 362.8811211806278, 'cooling_rate': 0.9957678968659055, 'max_iter': 95700000, 'loss_weights': {'weight': 11.413111013600638, 'community': 4.219961426316636, 'diversity': 14.093234366267783, 'shortcut': 3064.3327930954442}, 'resolution': 4.750319554648578}
2025-03-11 14:06:23,526 - Trial 55: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 825.0142150470149, 'cooling_rate': 0.990713854522416, 'max_iter': 35700000, 'loss_weights': {'weight': 8.32218932082556, 'community': 2.545430013264343, 'diversity': 9.911683947724077, 'shortcut': 9284.3366832809}, 'resolution': 2.446146778783526}
