nohup: ignoring input
Starting simulated annealing
Initial tree generated
Iteration: 875554, Valid modifications: 112, Effective modifications: 112, Loss: 3289.209619724482
Iteration: 881533, Valid modifications: 113, Effective modifications: 113, Loss: 3288.209937227852
Iteration: 884531, Valid modifications: 114, Effective modifications: 114, Loss: 3288.209937227758
Iteration: 885688, Valid modifications: 115, Effective modifications: 115, Loss: 3288.209937227758
Iteration: 886457, Valid modifications: 116, Effective modifications: 116, Loss: 3288.209937227758
Iteration: 898169, Valid modifications: 117, Effective modifications: 117, Loss: 3288.209937227758
Iteration: 900895, Valid modifications: 118, Effective modifications: 118, Loss: 3288.209937227758
Iteration: 929642, Valid modifications: 119, Effective modifications: 119, Loss: 3287.210889360964
Iteration: 929875, Valid modifications: 120, Effective modifications: 120, Loss: 3285.2242174848293
Iteration: 930582, Valid modifications: 121, Effective modifications: 121, Loss: 3284.216619630417
Iteration: 931101, Valid modifications: 122, Effective modifications: 122, Loss: 3284.216619630417
Iteration: 934038, Valid modifications: 123, Effective modifications: 123, Loss: 3284.216302324623
Iteration: 940303, Valid modifications: 124, Effective modifications: 124, Loss: 3284.216302324623
Iteration: 949839, Valid modifications: 125, Effective modifications: 125, Loss: 3284.216302324623
Iteration: 956189, Valid modifications: 126, Effective modifications: 126, Loss: 3284.216302324623
Iteration: 962081, Valid modifications: 127, Effective modifications: 127, Loss: 3284.216302324623
Iteration: 964405, Valid modifications: 128, Effective modifications: 128, Loss: 3284.216302324623
Iteration: 968923, Valid modifications: 129, Effective modifications: 129, Loss: 3284.216302324623
Iteration: 981733, Valid modifications: 130, Effective modifications: 130, Loss: 3284.216302324623
Iteration: 999304, Valid modifications: 131, Effective modifications: 131, Loss: 3284.216302324623
Iteration: 1002533, Valid modifications: 132, Effective modifications: 132, Loss: 3284.216302324623
Iteration: 1006198, Valid modifications: 133, Effective modifications: 133, Loss: 3284.216302324623
Iteration: 1007374, Valid modifications: 134, Effective modifications: 134, Loss: 3284.216302324623
Iteration: 1008265, Valid modifications: 135, Effective modifications: 135, Loss: 3284.216302324623
Iteration: 1023539, Valid modifications: 136, Effective modifications: 136, Loss: 3284.216302324623
Iteration: 1037569, Valid modifications: 137, Effective modifications: 137, Loss: 3284.216302324623
Iteration: 1050686, Valid modifications: 138, Effective modifications: 138, Loss: 3284.216302324623
Iteration: 1065029, Valid modifications: 139, Effective modifications: 139, Loss: 3283.2188408232346
Iteration: 1066117, Valid modifications: 140, Effective modifications: 140, Loss: 3282.219158139543
Iteration: 1067106, Valid modifications: 141, Effective modifications: 141, Loss: 3282.219158139543
Iteration: 1068573, Valid modifications: 142, Effective modifications: 142, Loss: 3282.219158139543
Iteration: 1074368, Valid modifications: 143, Effective modifications: 143, Loss: 3282.219158139543
Iteration: 1077077, Valid modifications: 144, Effective modifications: 144, Loss: 3281.2340993267635
Iteration: 1087599, Valid modifications: 145, Effective modifications: 145, Loss: 3280.2347339462412
Iteration: 1089119, Valid modifications: 146, Effective modifications: 146, Loss: 3280.2347339462412
Iteration: 1095053, Valid modifications: 147, Effective modifications: 147, Loss: 3279.235051267409
Iteration: 1095071, Valid modifications: 148, Effective modifications: 148, Loss: 3278.235368576739
Iteration: 1097760, Valid modifications: 149, Effective modifications: 149, Loss: 3278.235368576739
Iteration: 1099087, Valid modifications: 150, Effective modifications: 150, Loss: 3278.235368576739
Iteration: 1117778, Valid modifications: 151, Effective modifications: 151, Loss: 3278.235368576484
Iteration: 1118412, Valid modifications: 152, Effective modifications: 152, Loss: 3278.235368576484
Iteration: 1118929, Valid modifications: 153, Effective modifications: 153, Loss: 3278.235368576484
Iteration: 1124790, Valid modifications: 154, Effective modifications: 154, Loss: 3278.235368576484
Iteration: 1125627, Valid modifications: 155, Effective modifications: 155, Loss: 3278.235368576484
Iteration: 1128875, Valid modifications: 156, Effective modifications: 156, Loss: 3278.235368576484
Iteration: 1135618, Valid modifications: 157, Effective modifications: 157, Loss: 3278.235368576484
Iteration: 1153203, Valid modifications: 158, Effective modifications: 158, Loss: 3278.235368576484
Iteration: 1154926, Valid modifications: 159, Effective modifications: 159, Loss: 3278.235368576484
Iteration: 1157457, Valid modifications: 160, Effective modifications: 160, Loss: 3278.2350637362465
Iteration: 1157988, Valid modifications: 161, Effective modifications: 161, Loss: 3277.2353810454642
Iteration: 1159713, Valid modifications: 162, Effective modifications: 162, Loss: 3277.2353810454642
Iteration: 1183705, Valid modifications: 163, Effective modifications: 163, Loss: 3277.2353810454642
Iteration: 1206429, Valid modifications: 164, Effective modifications: 164, Loss: 3277.235064623798
Iteration: 1216501, Valid modifications: 165, Effective modifications: 165, Loss: 3275.2353827277516
Iteration: 1219734, Valid modifications: 166, Effective modifications: 166, Loss: 3274.235700044888
Iteration: 1236050, Valid modifications: 167, Effective modifications: 167, Loss: 3273.2363345664585
Iteration: 1241790, Valid modifications: 168, Effective modifications: 168, Loss: 3273.2360172575823
Iteration: 1241898, Valid modifications: 169, Effective modifications: 169, Loss: 3273.2360172575823
Iteration: 1246665, Valid modifications: 170, Effective modifications: 170, Loss: 3273.2360172575823
Iteration: 1249196, Valid modifications: 171, Effective modifications: 171, Loss: 3273.2360172575823
Iteration: 1256076, Valid modifications: 172, Effective modifications: 172, Loss: 3273.2360172575823
Iteration: 1262332, Valid modifications: 173, Effective modifications: 173, Loss: 3273.2360172575823
